dispatching_base_number,date,active_vehicles,trips
B02617,2015-11-22,152,717
B02617,2015-11-23,152,843
B02512,2015-11-24,190,1150
B02512,2015-11-25,218,1260
B02512,2015-11-26,230,982
B02512,2015-11-27,209,1538
B02512,2015-11-28,200,1645
B02512,2015-11-29,187,1690
B02512,2015-11-30,181,1827
B02598,2015-11-24,158,806
B02598,2015-11-25,164,939
B02598,2015-11-26,168,932
B02598,2015-11-27,174,1038
B02598,2015-11-28,187,1106
B02598,2015-11-29,191,1200
B02598,2015-11-30,208,1321
B02617,2015-11-24,95,477
B02617,2015-11-25,112,541
B02617,2015-11-26,114,612
B02617,2015-11-27,128,692
B02617,2015-11-28,148,707
B02617,2015-11-29,153,724
B02617,2015-11-30,153,810
B02512,2015-12-01,182,1149
B02512,2015-12-02,231,1201
B02512,2015-12-03,226,1026
B02512,2015-12-04,203,1511
B02512,2015-12-05,201,1600
B02512,2015-12-06,172,1707
B02512,2015-12-07,199,1793
B02598,2015-12-01,154,767
B02598,2015-12-02,153,877
B02598,2015-12-03,168,974
B02598,2015-12-04,178,1027
B02598,2015-12-05,198,1109
B02598,2015-12-06,204,1217
B02598,2015-12-07,218,1314
B02617,2015-12-01,109,506
B02617,2015-12-02,110,585
B02617,2015-12-03,129,629
B02617,2015-12-04,124,667
B02617,2015-12-05,144,744
B02617,2015-12-06,142,768
B02617,2015-12-07,162,784
B02512,2015-12-08,187,1090
B02512,2015-12-09,230,1222
B02512,2015-12-10,227,1038
B02512,2015-12-11,217,1472
B02512,2015-12-12,207,1567
B02512,2015-12-13,184,1714
B02512,2015-12-14,193,1793
B02598,2015-12-08,142,774
B02598,2015-12-09,168,883
B02598,2015-12-10,167,965
B02598,2015-12-11,177,973
B02598,2015-12-12,184,1135
B02598,2015-12-13,190,1198
B02598,2015-12-14,207,1285
B02617,2015-12-08,90,545
B02617,2015-12-09,109,514
B02617,2015-12-10,119,581
B02617,2015-12-11,121,677
B02617,2015-12-12,137,673
B02617,2015-12-13,150,715
B02617,2015-12-14,151,761
B02512,2015-12-15,192,1166
B02512,2015-12-16,216,1248
B02512,2015-12-17,233,987
B02512,2015-12-18,219,1540
B02512,2015-12-19,191,1550
B02512,2015-12-20,170,1666
B02512,2015-12-21,188,1835
B02598,2015-12-15,150,831
B02598,2015-12-16,159,871
B02598,2015-12-17,167,994
B02598,2015-12-18,171,1018
B02598,2015-12-19,183,1127
B02598,2015-12-20,192,1199
B02598,2015-12-21,202,1304
B02617,2015-12-15,103,546
B02617,2015-12-16,117,552
B02617,2015-12-17,123,641
B02617,2015-12-18,138,631
B02617,2015-12-19,136,674
B02617,2015-12-20,144,717
B02617,2015-12-21,155,837
B02512,2015-12-22,184,1130
B02512,2015-12-23,217,1249
B02512,2015-12-24,236,1013
B02512,2015-12-25,210,1539
B02512,2015-12-26,203,1649
B02512,2015-12-27,175,1688
B02512,2015-12-28,192,1771
B02598,2015-12-22,140,771
B02598,2015-12-23,159,908
B02598,2015-12-24,174,962
B02598,2015-12-25,173,1031
B02598,2015-12-26,181,1114
B02598,2015-12-27,201,1189
B02598,2015-12-28,200,1298
B02617,2015-12-22,102,543
B02617,2015-12-23,104,516
B02617,2015-12-24,129,621
B02617,2015-12-25,129,613
B02617,2015-12-26,137,740
B02617,2015-12-27,159,788
B02617,2015-12-28,162,794
B02512,2015-12-29,180,1165
B02512,2015-12-30,229,1255
B02512,2015-12-31,234,978
B02512,2016-01-01,212,1487
B02512,2016-01-02,195,1577
B02512,2016-01-03,180,1684
B02512,2016-01-04,198,1811
B02598,2015-12-29,143,830
B02598,2015-12-30,151,890
B02598,2015-12-31,161,909
B02598,2016-01-01,177,1042
B02598,2016-01-02,193,1147
B02598,2016-01-03,199,1248
B02598,2016-01-04,212,1273
B02617,2015-12-29,90,545
B02617,2015-12-30,107,536
B02617,2015-12-31,126,628
B02617,2016-01-01,138,689
B02617,2016-01-02,148,721
B02617,2016-01-03,148,751
B02617,2016-01-04,162,811
B02512,2016-01-05,181,1114
B02512,2016-01-06,218,1213
B02512,2016-01-07,235,1016
B02512,2016-01-08,200,1482
B02512,2016-01-09,200,1568
B02512,2016-01-10,177,1651
B02512,2016-01-11,182,1833
B02598,2016-01-05,142,772
B02598,2016-01-06,156,928
B02598,2016-01-07,172,901
B02598,2016-01-08,173,962
B02598,2016-01-09,196,1053
B02598,2016-01-10,191,1236
B02598,2016-01-11,214,1286
B02617,2016-01-05,96,517
B02617,2016-01-06,109,565
B02617,2016-01-07,124,624
B02617,2016-01-08,137,608
B02617,2016-01-09,131,654
B02617,2016-01-10,145,711
B02617,2016-01-11,163,763
B02512,2016-01-12,198,1133
B02512,2016-01-13,224,1254
B02512,2016-01-14,227,1045
B02512,2016-01-15,204,1482
B02512,2016-01-16,201,1649
B02512,2016-01-17,176,1700
B02512,2016-01-18,186,1832
B02598,2016-01-12,156,833
B02598,2016-01-13,157,863
B02598,2016-01-14,174,986
B02598,2016-01-15,188,994
B02598,2016-01-16,188,1110
B02598,2016-01-17,205,1212
B02598,2016-01-18,214,1280
B02617,2016-01-12,106,454
B02617,2016-01-13,113,512
B02617,2016-01-14,116,639
B02617,2016-01-15,130,642
B02617,2016-01-16,147,695
B02617,2016-01-17,153,765
B02617,2016-01-18,164,796
B02512,2016-01-19,197,1169
B02512,2016-01-20,234,1206
B02512,2016-01-21,223,964
B02512,2016-01-22,217,1527
B02512,2016-01-23,200,1555
B02512,2016-01-24,181,1686
B02512,2016-01-25,184,1810
B02598,2016-01-19,142,813
B02598,2016-01-20,164,884
B02598,2016-01-21,163,971
B02598,2016-01-22,189,979
B02598,2016-01-23,196,1137
B02598,2016-01-24,190,1212
B02598,2016-01-25,204,1318
B02617,2016-01-19,93,480
B02617,2016-01-20,101,568
B02617,2016-01-21,110,588
B02617,2016-01-22,127,621
B02617,2016-01-23,133,732
B02617,2016-01-24,149,719
B02617,2016-01-25,151,795
B02512,2016-01-26,184,1084
B02512,2016-01-27,231,1259
B02512,2016-01-28,233,1044
B02512,2016-01-29,219,1465
B02512,2016-01-30,202,1638
B02512,2016-01-31,175,1706
B02512,2016-02-01,192,1758
B02598,2016-01-26,156,821
B02598,2016-01-27,160,932
B02598,2016-01-28,161,951
B02598,2016-01-29,171,1043
B02598,2016-01-30,185,1080
B02598,2016-01-31,197,1239
B02598,2016-02-01,201,1341
B02617,2016-01-26,91,514
B02617,2016-01-27,116,566
B02617,2016-01-28,116,562
B02617,2016-01-29,124,642
B02617,2016-01-30,138,725
B02617,2016-01-31,156,725
B02617,2016-02-01,158,802
B02512,2016-02-02,189,1136
B02512,2016-02-03,229,1192
B02512,2016-02-04,239,996
B02512,2016-02-05,203,1534
B02512,2016-02-06,201,1603
B02512,2016-02-07,189,1651
B02512,2016-02-08,192,1754
B02598,2016-02-02,145,813
B02598,2016-02-03,153,920
B02598,2016-02-04,173,999
B02598,2016-02-05,186,1042
B02598,2016-02-06,184,1113
B02598,2016-02-07,204,1220
B02598,2016-02-08,211,1340
B02617,2016-02-02,90,476
B02617,2016-02-03,116,510
B02617,2016-02-04,110,647
B02617,2016-02-05,130,626
B02617,2016-02-06,141,707
B02617,2016-02-07,146,769
B02617,2016-02-08,162,765
B02512,2016-02-09,196,1088
B02512,2016-02-10,228,1198
B02512,2016-02-11,227,950
B02512,2016-02-12,219,1540
B02512,2016-02-13,196,1638
B02512,2016-02-14,179,1701
B02512,2016-02-15,198,1836
B02598,2016-02-09,141,757
B02598,2016-02-10,165,928
B02598,2016-02-11,172,968
B02598,2016-02-12,184,991
B02598,2016-02-13,186,1143
B02598,2016-02-14,190,1153
B02598,2016-02-15,206,1263
B02617,2016-02-09,94,461
B02617,2016-02-10,110,586
B02617,2016-02-11,129,551
B02617,2016-02-12,127,695
B02617,2016-02-13,135,725
B02617,2016-02-14,148,736
B02617,2016-02-15,153,782
B02512,2016-02-16,181,1119
B02512,2016-02-17,219,1278
B02512,2016-02-18,220,951
B02512,2016-02-19,207,1531
B02512,2016-02-20,206,1576
B02512,2016-02-21,186,1739
B02512,2016-02-22,187,1832
B02598,2016-02-16,148,758
B02598,2016-02-17,150,872
B02598,2016-02-18,179,900
B02598,2016-02-19,183,956
B02598,2016-02-20,198,1100
B02598,2016-02-21,199,1167
B02598,2016-02-22,201,1315
B02617,2016-02-16,94,516
B02617,2016-02-17,101,599
B02617,2016-02-18,128,625
B02617,2016-02-19,133,656
B02617,2016-02-20,146,740
B02617,2016-02-21,153,722
B02617,2016-02-22,165,837
B02512,2016-02-23,189,1088
B02512,2016-02-24,234,1199
B02512,2016-02-25,220,1005
B02512,2016-02-26,201,1520
B02512,2016-02-27,196,1585
B02512,2016-02-28,182,1746
B02512,2016-02-29,195,1844
B02598,2016-02-23,153,774
B02598,2016-02-24,155,904
B02598,2016-02-25,174,926
B02598,2016-02-26,178,978
B02598,2016-02-27,182,1096
B02598,2016-02-28,209,1212
B02598,2016-02-29,207,1267
B02617,2016-02-23,102,522
B02617,2016-02-24,110,517
B02617,2016-02-25,115,625
B02617,2016-02-26,136,605
B02617,2016-02-27,146,718
B02617,2016-02-28,141,730
B02617,2016-02-29,157,790
B02512,2016-03-01,195,1153
B02512,2016-03-02,222,1276
B02512,2016-03-03,229,1047
B02512,2016-03-04,204,1456
B02512,2016-03-05,209,1559
B02512,2016-03-06,188,1660
B02512,2016-03-07,198,1767
B02598,2016-03-01,155,795
B02598,2016-03-02,161,941
B02598,2016-03-03,178,923
B02598,2016-03-04,177,1020
B02598,2016-03-05,182,1085
B02598,2016-03-06,192,1238
B02598,2016-03-07,218,1288
B02617,2016-03-01,109,526
B02617,2016-03-02,103,583
B02617,2016-03-03,110,598
B02617,2016-03-04,120,669
B02617,2016-03-05,140,716
B02617,2016-03-06,152,729
B02617,2016-03-07,158,775
B02512,2016-03-08,189,1104
B02512,2016-03-09,234,1194
B02512,2016-03-10,222,1033
B02512,2016-03-11,212,1528
B02512,2016-03-12,207,1606
B02512,2016-03-13,185,1700
B02512,2016-03-14,198,1823
B02598,2016-03-08,143,785
B02598,2016-03-09,163,908
B02598,2016-03-10,173,911
B02598,2016-03-11,184,1047
B02598,2016-03-12,197,1105
B02598,2016-03-13,201,1158
B02598,2016-03-14,217,1301
B02617,2016-03-08,91,528
B02617,2016-03-09,117,537
B02617,2016-03-10,128,635
B02617,2016-03-11,132,673
B02617,2016-03-12,135,690
B02617,2016-03-13,154,734
B02617,2016-03-14,154,842
B02512,2016-03-15,187,1101
B02512,2016-03-16,221,1217
B02512,2016-03-17,224,967
B02512,2016-03-18,205,1487
B02512,2016-03-19,192,1586
B02512,2016-03-20,170,1696
B02512,2016-03-21,197,1832
B02598,2016-03-15,153,828
B02598,2016-03-16,154,943
B02598,2016-03-17,172,919
B02598,2016-03-18,185,1020
B02598,2016-03-19,182,1146
B02598,2016-03-20,198,1192
B02598,2016-03-21,202,1329
B02617,2016-03-15,104,499
B02617,2016-03-16,105,526
B02617,2016-03-17,124,599
B02617,2016-03-18,120,603
B02617,2016-03-19,133,686
B02617,2016-03-20,151,738
B02617,2016-03-21,150,771
B02512,2016-03-22,190,1088
B02512,2016-03-23,219,1247
B02512,2016-03-24,221,1027
B02512,2016-03-25,214,1537
B02512,2016-03-26,201,1615
B02512,2016-03-27,177,1749
B02512,2016-03-28,195,1781
B02598,2016-03-22,152,784
B02598,2016-03-23,167,943
B02598,2016-03-24,173,939
B02598,2016-03-25,185,964
B02598,2016-03-26,185,1092
B02598,2016-03-27,199,1189
B02598,2016-03-28,215,1339
B02617,2016-03-22,101,486
B02617,2016-03-23,116,519
B02617,2016-03-24,114,628
B02617,2016-03-25,139,627
B02617,2016-03-26,135,671
B02617,2016-03-27,151,748
B02617,2016-03-28,153,777
B02512,2016-03-29,185,1111
B02512,2016-03-30,223,1216
B02512,2016-03-31,226,1008
B02512,2016-04-01,200,1473
B02512,2016-04-02,206,1553
B02512,2016-04-03,176,1659
B02512,2016-04-04,180,1789
B02598,2016-03-29,146,775
B02598,2016-03-30,159,931
B02598,2016-03-31,177,960
B02598,2016-04-01,178,1029
B02598,2016-04-02,197,1094
B02598,2016-04-03,206,1239
B02598,2016-04-04,208,1320
B02617,2016-03-29,90,504
B02617,2016-03-30,107,510
B02617,2016-03-31,112,569
B02617,2016-04-01,127,658
B02617,2016-04-02,141,718
B02617,2016-04-03,141,700
B02617,2016-04-04,169,789
B02512,2016-04-05,180,1162
B02512,2016-04-06,223,1238
B02512,2016-04-07,235,973
B02512,2016-04-08,217,1460
B02512,2016-04-09,208,1594
B02512,2016-04-10,179,1710
B02512,2016-04-11,191,1767
B02598,2016-04-05,151,845
B02598,2016-04-06,150,897
B02598,2016-04-07,164,945
B02598,2016-04-08,175,954
B02598,2016-04-09,193,1055
B02598,2016-04-10,205,1197
B02598,2016-04-11,211,1328
B02617,2016-04-05,95,451
B02617,2016-04-06,106,590
B02617,2016-04-07,129,601
B02617,2016-04-08,136,684
B02617,2016-04-09,147,713
B02617,2016-04-10,140,746
B02617,2016-04-11,164,750
B02512,2016-04-12,190,1153
B02512,2016-04-13,234,1263
B02512,2016-04-14,234,988
B02512,2016-04-15,210,1529
B02512,2016-04-16,200,1565
B02512,2016-04-17,172,1652
B02512,2016-04-18,192,1797
B02598,2016-04-12,145,846
B02598,2016-04-13,158,911
B02598,2016-04-14,168,985
B02598,2016-04-15,188,961
B02598,2016-04-16,191,1102
B02598,2016-04-17,190,1204
B02598,2016-04-18,212,1292
B02617,2016-04-12,107,475
B02617,2016-04-13,114,530
B02617,2016-04-14,123,606
B02617,2016-04-15,139,607
B02617,2016-04-16,130,725
B02617,2016-04-17,145,722
B02617,2016-04-18,151,819
B02512,2016-04-19,195,1170
B02512,2016-04-20,218,1264
B02512,2016-04-21,227,986
B02512,2016-04-22,214,1539
B02512,2016-04-23,196,1568
B02512,2016-04-24,170,1662
B02512,2016-04-25,182,1763
B02598,2016-04-19,143,800
B02598,2016-04-20,158,919
B02598,2016-04-21,165,911
B02598,2016-04-22,184,972
B02598,2016-04-23,180,1110
B02598,2016-04-24,195,1187
B02598,2016-04-25,202,1317
B02617,2016-04-19,95,482
B02617,2016-04-20,117,539
B02617,2016-04-21,112,599
B02617,2016-04-22,125,610
B02617,2016-04-23,149,698
B02617,2016-04-24,149,793
B02617,2016-04-25,152,838
B02512,2016-04-26,198,1108
B02512,2016-04-27,226,1222
B02512,2016-04-28,222,976
B02512,2016-04-29,213,1549
B02512,2016-04-30,204,1564
B02512,2016-05-01,179,1697
B02512,2016-05-02,194,1795
B02598,2016-04-26,158,780
B02598,2016-04-27,164,927
B02598,2016-04-28,161,950
B02598,2016-04-29,175,1030
B02598,2016-04-30,190,1139
B02598,2016-05-01,207,1175
B02598,2016-05-02,204,1344
B02617,2016-04-26,100,468
B02617,2016-04-27,105,581
B02617,2016-04-28,114,562
B02617,2016-04-29,122,665
B02617,2016-04-30,132,658
B02617,2016-05-01,153,700
B02617,2016-05-02,155,820
B02512,2016-05-03,189,1109
B02512,2016-05-04,221,1185
B02512,2016-05-05,236,1044
B02512,2016-05-06,210,1468
B02512,2016-05-07,208,1638
B02512,2016-05-08,172,1706
B02512,2016-05-09,180,1799
B02598,2016-05-03,151,839
B02598,2016-05-04,164,870
B02598,2016-05-05,163,926
B02598,2016-05-06,187,1004
B02598,2016-05-07,182,1116
B02598,2016-05-08,196,1237
B02598,2016-05-09,205,1318
B02617,2016-05-03,94,529
B02617,2016-05-04,113,519
B02617,2016-05-05,128,614
B02617,2016-05-06,122,695
B02617,2016-05-07,133,749
B02617,2016-05-08,149,768
B02617,2016-05-09,161,776
B02512,2016-05-10,188,1138
B02512,2016-05-11,219,1258
B02512,2016-05-12,233,977
B02512,2016-05-13,215,1493
B02512,2016-05-14,195,1623
B02512,2016-05-15,188,1662
B02512,2016-05-16,188,1750
B02598,2016-05-10,145,779
B02598,2016-05-11,169,868
B02598,2016-05-12,174,933
B02598,2016-05-13,180,954
B02598,2016-05-14,186,1095
B02598,2016-05-15,207,1243
B02598,2016-05-16,201,1276
B02617,2016-05-10,92,507
B02617,2016-05-11,107,588
B02617,2016-05-12,124,582
B02617,2016-05-13,138,628
B02617,2016-05-14,134,694
B02617,2016-05-15,153,729
B02617,2016-05-16,162,766
B02512,2016-05-17,193,1113
B02512,2016-05-18,221,1183
B02512,2016-05-19,236,991
B02512,2016-05-20,202,1548
B02512,2016-05-21,194,1554
B02512,2016-05-22,174,1675
B02512,2016-05-23,195,1811
B02598,2016-05-17,155,763
B02598,2016-05-18,162,878
B02598,2016-05-19,166,984
B02598,2016-05-20,185,974
B02598,2016-05-21,196,1057
B02598,2016-05-22,195,1211
B02598,2016-05-23,211,1263
B02617,2016-05-17,104,507
B02617,2016-05-18,102,598
B02617,2016-05-19,125,567
B02617,2016-05-20,130,638
B02617,2016-05-21,140,707
B02617,2016-05-22,143,722
B02617,2016-05-23,158,824
B02512,2016-05-24,190,1086
B02512,2016-05-25,219,1271
B02512,2016-05-26,237,991
B02512,2016-05-27,209,1505
B02512,2016-05-28,192,1632
B02512,2016-05-29,173,1680
B02512,2016-05-30,184,1757
B02598,2016-05-24,151,784
B02598,2016-05-25,164,909
B02598,2016-05-26,179,967
B02598,2016-05-27,170,993
B02598,2016-05-28,189,1050
B02598,2016-05-29,194,1185
B02598,2016-05-30,219,1266
B02617,2016-05-24,96,538
B02617,2016-05-25,109,506
B02617,2016-05-26,120,613
B02617,2016-05-27,131,688
B02617,2016-05-28,147,671
B02617,2016-05-29,152,751
B02617,2016-05-30,153,773
B02512,2016-05-31,191,1108
B02512,2016-06-01,229,1196
B02512,2016-06-02,228,976
B02512,2016-06-03,207,1506
B02512,2016-06-04,204,1616
B02512,2016-06-05,178,1665
B02512,2016-06-06,186,1790
B02598,2016-05-31,150,816
B02598,2016-06-01,169,864
B02598,2016-06-02,162,983
B02598,2016-06-03,172,963
B02598,2016-06-04,195,1117
B02598,2016-06-05,195,1241
B02598,2016-06-06,204,1305
B02617,2016-05-31,100,497
B02617,2016-06-01,112,594
B02617,2016-06-02,125,618
B02617,2016-06-03,120,668
B02617,2016-06-04,138,700
B02617,2016-06-05,150,776
B02617,2016-06-06,160,764
B02512,2016-06-07,193,1162
B02512,2016-06-08,219,1278
B02512,2016-06-09,227,958
B02512,2016-06-10,216,1531
B02512,2016-06-11,209,1566
B02512,2016-06-12,179,1724
B02512,2016-06-13,195,1847
B02598,2016-06-07,155,773
B02598,2016-06-08,152,916
B02598,2016-06-09,168,956
B02598,2016-06-10,189,1028
B02598,2016-06-11,186,1058
B02598,2016-06-12,195,1195
B02598,2016-06-13,215,1338
B02617,2016-06-07,109,510
B02617,2016-06-08,112,595
B02617,2016-06-09,117,648
B02617,2016-06-10,136,643
B02617,2016-06-11,146,692
B02617,2016-06-12,141,769
B02617,2016-06-13,161,795
B02512,2016-06-14,185,1173
B02512,2016-06-15,218,1186
B02512,2016-06-16,238,1031
B02512,2016-06-17,213,1500
B02512,2016-06-18,191,1586
B02512,2016-06-19,188,1656
B02512,2016-06-20,182,1764
B02598,2016-06-14,159,795
B02598,2016-06-15,169,873
B02598,2016-06-16,161,948
B02598,2016-06-17,179,955
B02598,2016-06-18,193,1060
B02598,2016-06-19,206,1232
B02598,2016-06-20,209,1262
B02617,2016-06-14,109,458
B02617,2016-06-15,113,575
B02617,2016-06-16,128,573
B02617,2016-06-17,139,642
B02617,2016-06-18,135,700
B02617,2016-06-19,144,764
B02617,2016-06-20,154,795
B02512,2016-06-21,180,1144
B02512,2016-06-22,215,1196
B02512,2016-06-23,231,1006
B02512,2016-06-24,213,1526
B02512,2016-06-25,191,1592
B02512,2016-06-26,170,1680
B02512,2016-06-27,182,1844
B02598,2016-06-21,149,755
B02598,2016-06-22,152,903
B02598,2016-06-23,162,951
B02598,2016-06-24,175,1030
B02598,2016-06-25,192,1103
B02598,2016-06-26,190,1192
B02598,2016-06-27,202,1299
B02617,2016-06-21,92,477
B02617,2016-06-22,106,576
B02617,2016-06-23,123,558
B02617,2016-06-24,139,647
B02617,2016-06-25,133,683
B02617,2016-06-26,154,781
B02617,2016-06-27,168,774
B02512,2016-06-28,189,1164
B02512,2016-06-29,223,1224
B02512,2016-06-30,223,955
B02512,2016-07-01,206,1511
B02512,2016-07-02,209,1631
B02512,2016-07-03,171,1665
B02512,2016-07-04,187,1841
B02598,2016-06-28,158,840
B02598,2016-06-29,154,943
B02598,2016-06-30,174,952
B02598,2016-07-01,180,961
B02598,2016-07-02,183,1060
B02598,2016-07-03,203,1199
B02598,2016-07-04,215,1253
B02617,2016-06-28,99,536
B02617,2016-06-29,100,525
B02617,2016-06-30,112,610
B02617,2016-07-01,127,644
B02617,2016-07-02,146,715
B02617,2016-07-03,146,709
B02617,2016-07-04,150,773
B02512,2016-07-05,198,1083
B02512,2016-07-06,215,1249
B02512,2016-07-07,234,1018
B02512,2016-07-08,210,1521
B02512,2016-07-09,203,1599
B02512,2016-07-10,170,1696
B02512,2016-07-11,191,1813
B02598,2016-07-05,146,797
B02598,2016-07-06,161,872
B02598,2016-07-07,160,948
B02598,2016-07-08,172,972
B02598,2016-07-09,184,1122
B02598,2016-07-10,202,1245
B02598,2016-07-11,213,1345
B02617,2016-07-05,92,481
B02617,2016-07-06,106,535
B02617,2016-07-07,112,613
B02617,2016-07-08,129,626
B02617,2016-07-09,132,685
B02617,2016-07-10,159,713
B02617,2016-07-11,162,813
B02512,2016-07-12,198,1092
B02512,2016-07-13,231,1187
B02512,2016-07-14,231,967
B02512,2016-07-15,200,1549
B02512,2016-07-16,195,1588
B02512,2016-07-17,170,1723
B02512,2016-07-18,183,1806
B02598,2016-07-12,153,848
B02598,2016-07-13,153,936
B02598,2016-07-14,161,915
B02598,2016-07-15,181,1001
B02598,2016-07-16,182,1088
B02598,2016-07-17,206,1248
B02598,2016-07-18,200,1313
B02617,2016-07-12,108,521
B02617,2016-07-13,114,561
B02617,2016-07-14,129,609
B02617,2016-07-15,121,675
B02617,2016-07-16,136,670
B02617,2016-07-17,159,726
B02617,2016-07-18,150,755
B02512,2016-07-19,188,1097
B02512,2016-07-20,216,1268
B02512,2016-07-21,222,985
B02512,2016-07-22,214,1526
B02512,2016-07-23,208,1593
B02512,2016-07-24,183,1662
B02512,2016-07-25,195,1846
B02598,2016-07-19,157,815
B02598,2016-07-20,150,947
B02598,2016-07-21,172,937
B02598,2016-07-22,172,1038
B02598,2016-07-23,193,1097
B02598,2016-07-24,191,1246
B02598,2016-07-25,200,1253
B02617,2016-07-19,97,464
B02617,2016-07-20,113,525
B02617,2016-07-21,124,598
B02617,2016-07-22,138,637
B02617,2016-07-23,138,713
B02617,2016-07-24,150,788
B02617,2016-07-25,163,769
B02512,2016-07-26,199,1170
B02512,2016-07-27,234,1237
B02512,2016-07-28,223,960
B02512,2016-07-29,203,1483
B02512,2016-07-30,195,1592
B02512,2016-07-31,179,1665
B02512,2016-08-01,194,1759
B02598,2016-07-26,151,770
B02598,2016-07-27,167,871
B02598,2016-07-28,166,982
B02598,2016-07-29,181,960
B02598,2016-07-30,195,1050
B02598,2016-07-31,190,1171
B02598,2016-08-01,210,1331
B02617,2016-07-26,98,469
B02617,2016-07-27,111,531
B02617,2016-07-28,116,609
B02617,2016-07-29,132,651
B02617,2016-07-30,144,725
B02617,2016-07-31,144,781
B02617,2016-08-01,164,841
B02512,2016-08-02,195,1128
B02512,2016-08-03,218,1223
B02512,2016-08-04,224,1049
B02512,2016-08-05,209,1505
B02512,2016-08-06,197,1615
B02512,2016-08-07,180,1673
B02512,2016-08-08,193,1839
B02598,2016-08-02,150,757
B02598,2016-08-03,169,855
B02598,2016-08-04,173,924
B02598,2016-08-05,177,1043
B02598,2016-08-06,191,1097
B02598,2016-08-07,195,1218
B02598,2016-08-08,218,1293
B02617,2016-08-02,97,468
B02617,2016-08-03,100,501
B02617,2016-08-04,124,578
B02617,2016-08-05,139,649
B02617,2016-08-06,132,679
B02617,2016-08-07,141,746
B02617,2016-08-08,151,829
B02512,2016-08-09,183,1167
B02512,2016-08-10,221,1241
B02512,2016-08-11,228,956
B02512,2016-08-12,215,1508
B02512,2016-08-13,202,1597
B02512,2016-08-14,189,1730
B02512,2016-08-15,192,1829
B02598,2016-08-09,146,750
B02598,2016-08-10,165,850
B02598,2016-08-11,160,946
B02598,2016-08-12,170,1008
B02598,2016-08-13,194,1111
B02598,2016-08-14,199,1158
B02598,2016-08-15,215,1322
B02617,2016-08-09,91,450
B02617,2016-08-10,109,508
B02617,2016-08-11,113,605
B02617,2016-08-12,122,640
B02617,2016-08-13,130,749
B02617,2016-08-14,147,766
B02617,2016-08-15,150,800
B02512,2016-08-16,199,1141
B02512,2016-08-17,216,1208
B02512,2016-08-18,236,991
B02512,2016-08-19,200,1529
B02512,2016-08-20,201,1555
B02512,2016-08-21,178,1726
B02512,2016-08-22,195,1839
B02598,2016-08-16,145,792
B02598,2016-08-17,162,852
B02598,2016-08-18,175,973
B02598,2016-08-19,185,1038
B02598,2016-08-20,180,1087
B02598,2016-08-21,192,1196
B02598,2016-08-22,203,1303
B02617,2016-08-16,97,484
B02617,2016-08-17,117,549
B02617,2016-08-18,114,620
B02617,2016-08-19,136,670
B02617,2016-08-20,136,659
B02617,2016-08-21,159,766
B02617,2016-08-22,158,766
B02512,2016-08-23,195,1094
B02512,2016-08-24,233,1210
B02512,2016-08-25,233,1022
B02512,2016-08-26,202,1507
B02512,2016-08-27,195,1625
B02512,2016-08-28,188,1749
B02512,2016-08-29,187,1765
B02598,2016-08-23,143,784
B02598,2016-08-24,164,935
B02598,2016-08-25,168,919
B02598,2016-08-26,178,972
B02598,2016-08-27,187,1087
B02598,2016-08-28,206,1230
B02598,2016-08-29,205,1323
B02617,2016-08-23,99,504
B02617,2016-08-24,104,521
B02617,2016-08-25,120,575
B02617,2016-08-26,125,637
B02617,2016-08-27,142,733
B02617,2016-08-28,144,783
B02617,2016-08-29,150,777
B02512,2016-08-30,195,1166
B02512,2016-08-31,228,1204
B02512,2016-09-01,229,960
B02512,2016-09-02,202,1460
B02512,2016-09-03,192,1609
B02512,2016-09-04,186,1715
B02512,2016-09-05,197,1783
B02598,2016-08-30,153,820
B02598,2016-08-31,169,926
B02598,2016-09-01,165,938
B02598,2016-09-02,181,1028
B02598,2016-09-03,180,1070
B02598,2016-09-04,208,1209
B02598,2016-09-05,207,1304
B02617,2016-08-30,96,530
B02617,2016-08-31,101,550
B02617,2016-09-01,111,600
B02617,2016-09-02,139,650
B02617,2016-09-03,134,748
B02617,2016-09-04,146,730
B02617,2016-09-05,162,762
B02512,2016-09-06,198,1125
B02512,2016-09-07,233,1232
B02512,2016-09-08,233,1033
B02512,2016-09-09,206,1453
B02512,2016-09-10,200,1581
B02512,2016-09-11,186,1656
B02512,2016-09-12,187,1849
B02598,2016-09-06,158,826
B02598,2016-09-07,160,861
B02598,2016-09-08,162,939
B02598,2016-09-09,188,958
B02598,2016-09-10,190,1064
B02598,2016-09-11,205,1159
B02598,2016-09-12,206,1262
B02617,2016-09-06,104,492
B02617,2016-09-07,107,533
B02617,2016-09-08,110,581
B02617,2016-09-09,128,654
B02617,2016-09-10,135,650
B02617,2016-09-11,159,789
B02617,2016-09-12,166,815
B02512,2016-09-13,180,1082
B02512,2016-09-14,229,1228
B02512,2016-09-15,230,1025
B02512,2016-09-16,211,1481
B02512,2016-09-17,204,1627
B02512,2016-09-18,176,1689
B02512,2016-09-19,187,1778
B02598,2016-09-13,149,818
B02598,2016-09-14,160,891
B02598,2016-09-15,179,929
B02598,2016-09-16,177,986
B02598,2016-09-17,184,1056
B02598,2016-09-18,191,1241
B02598,2016-09-19,209,1291
B02617,2016-09-13,90,499
B02617,2016-09-14,105,546
B02617,2016-09-15,111,553
B02617,2016-09-16,125,621
B02617,2016-09-17,141,661
